deviceName,pm10,pm25,co2,tvoc,temperature,humidity,checkDateTime
SCH_멀티미디어관_M503_강의실_에어컨,,,,,22,28,2023/11/24 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,22,27,2023/11/24 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/24 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/24 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/24 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/24 22:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,28,2023/11/24 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,25,2023/11/25 0:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/25 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,25,2023/11/25 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 5:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,25,2023/11/25 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 10:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 11:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 12:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,22,2023/11/25 14:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,22,2023/11/25 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,22,2023/11/25 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/25 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,22,2023/11/25 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,22,2023/11/25 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/25 20:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/25 21:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/25 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/25 23:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 0:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 1:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 2:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 3:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 4:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 5:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 6:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 7:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 8:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 9:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 10:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,20,24,2023/11/26 11:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/26 12:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/26 13:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,24,2023/11/26 14:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,25,2023/11/26 15:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,25,2023/11/26 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/26 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/26 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/26 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,21,27,2023/11/26 20:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,28,2023/12/05 15:43
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,28,2023/12/05 16:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/05 17:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/05 18:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/05 19:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,24,30,2023/12/05 20:03
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/05 21:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/05 22:04
SCH_멀티미디어관_M503_강의실_에어컨,,,,,23,30,2023/12/05 23:04
